Wall time,Step,Value
1685478177.465069,0,0.020496288314461708
1685478192.6130924,1,0.0139046311378479
1685478207.8545558,2,0.011904321610927582
1685478222.9045527,3,0.011028904467821121
1685478238.835266,4,0.010551149956882
1685478253.8756871,5,0.01013035699725151
1685478269.180158,6,0.009650063700973988
1685478284.845417,7,0.009401889517903328
1685478299.9536662,8,0.009291231632232666
1685478315.2179945,9,0.009143869392573833
1685478330.6925743,10,0.009054395370185375
1685478346.0965972,11,0.008955338969826698
1685478361.2183068,12,0.008849876932799816
1685478376.4054012,13,0.008731754496693611
1685478392.2806718,14,0.008620252832770348
1685478407.3491104,15,0.008624195121228695
1685478422.8427474,16,0.008587936870753765
1685478438.2167237,17,0.008525942452251911
1685478453.5285096,18,0.008490441367030144
1685478469.8428404,19,0.008460264652967453
1685478485.6744902,20,0.008425621315836906
1685478501.2273674,21,0.008412103168666363
1685478516.8266008,22,0.008376610465347767
1685478532.5009446,23,0.008343232795596123
1685478549.3336349,24,0.008321327157318592
1685478566.3580744,25,0.008298720233142376
1685478582.431472,26,0.008244873024523258
1685478599.5577662,27,0.008209433406591415
1685478617.7205412,28,0.008250496350228786
1685478634.4815438,29,0.008224350400269032
1685478651.3625507,30,0.0081958482041955
1685478668.273273,31,0.008207057602703571
1685478685.1829593,32,0.008178885094821453
1685478700.9308605,33,0.008156263269484043
1685478717.307306,34,0.008130553178489208
1685478732.9577987,35,0.008108044974505901
1685478750.8035538,36,0.008116327226161957
1685478768.303513,37,0.008130249567329884
1685478785.7155223,38,0.008099106140434742
1685478802.7431397,39,0.008054687641561031
1685478820.8623693,40,0.008086387999355793
1685478838.1993136,41,0.008052658289670944
1685478855.9032984,42,0.007977386005222797
1685478873.4066124,43,0.008017399348318577
1685478890.6724112,44,0.007941143587231636
1685478907.9128046,45,0.008006103336811066
1685478925.060738,46,0.007992221973836422
1685478941.930938,47,0.007944134995341301
1685478959.718974,48,0.00795079581439495
1685478976.985852,49,0.007889431901276112
