Wall time,Step,Value
1685478177.4650357,0,0.0
1685478192.613059,1,0.0
1685478207.8545237,2,0.0
1685478222.9045174,3,0.0
1685478238.8352275,4,0.0
1685478253.8756526,5,0.0
1685478269.1801257,6,0.0
1685478284.8453865,7,0.0
1685478299.953634,8,0.0
1685478315.2179625,9,0.0
1685478330.69253,10,0.0
1685478346.0965552,11,0.0
1685478361.2182736,12,0.0
1685478376.4053679,13,0.0
1685478392.2806394,14,0.0
1685478407.349074,15,0.0
1685478422.8427098,16,0.0
1685478438.2166908,17,0.0
1685478453.5284767,18,0.0
1685478469.8428047,19,0.0
1685478485.674459,20,0.0
1685478501.2273304,21,0.0
1685478516.8265667,22,0.0
1685478532.5009117,23,0.0
1685478549.333599,24,0.0
1685478566.358041,25,0.0
1685478582.431434,26,0.0
1685478599.5577095,27,0.0
1685478617.7205057,28,0.0
1685478634.4814906,29,0.0
1685478651.3625143,30,0.0
1685478668.2732253,31,0.0
1685478685.1829221,32,0.0
1685478700.930821,33,0.0
1685478717.3072677,34,0.0
1685478732.9577644,35,0.0
1685478750.803512,36,0.0
1685478768.303477,37,0.0
1685478785.7154741,38,0.0
1685478802.7431052,39,0.0
1685478820.8623273,40,0.0
1685478838.1992822,41,0.0
1685478855.9032412,42,0.0
1685478873.4065623,43,0.0
1685478890.6723795,44,0.0
1685478907.9127584,45,0.0
1685478925.060701,46,0.0
1685478941.930903,47,0.0
1685478959.718938,48,0.0
1685478976.9858062,49,0.0
